candidate_id,lat,lon,n_cells_served,total_load_kw,avg_service_dist_m,location_name,city,road,suitability,suitability_reason,nearby_restrictions
5.0,33.37230284394941,-112.13764877602935,1.0,19026.5,0.0,"South Cesar Chavez Park Road, Laveen, Phoenix",Phoenix,South Cesar Chavez Park Road,restricted,"Near: Cesar Chavez Park, unnamed",leisure=park; natural=water; natural=water
6.0,33.3993569459062,-112.13800123519803,1.0,21993.2,0.0,"West Roeser Road, Laveen, Phoenix",Phoenix,West Roeser Road,restricted,"Near: Playa Margarita Park, unnamed",leisure=park; natural=water; natural=water
7.0,33.45346478545283,-112.13870756760909,1.0,40595.6,0.0,"North 37th Avenue, Estrella, Phoenix",Phoenix,North 37th Avenue,suitable,No restricted areas detected within 500m,
8.0,33.507572138827456,-112.13941578941531,1.0,55062.0,0.0,"North 37th Avenue, Alhambra, Phoenix",Phoenix,North 37th Avenue,restricted,Near: Cielito Park,leisure=park
9.0,33.53462563306961,-112.1397706103325,1.0,48194.1,0.0,"West Ocotillo Road, Alhambra, Phoenix",Phoenix,West Ocotillo Road,restricted,Near: La Pradera Park,leisure=park
10.0,33.561679005612156,-112.14012590538998,1.0,7077.8,0.0,"West Diana Avenue, North Mountain, Phoenix",Phoenix,West Diana Avenue,restricted,Near: Hoshoni Park,leisure=park
12.0,33.37259418702772,-112.10540432125735,1.0,20072.8,0.0,"West Desert Lane, South Mountain, Phoenix",Phoenix,West Desert Lane,restricted,"Near: unnamed, unnamed",leisure=park; leisure=park; leisure=park
13.0,33.399648586845856,-112.10574679568536,1.0,31032.2,0.0,"West Roeser Road, Park Phoenix, Phoenix",Phoenix,West Roeser Road,restricted,"Near: Lindo Park, unnamed",leisure=park; leisure=park; leisure=park
14.0,33.4537570226587,-112.1064331185702,1.0,23202.3,0.0,"West Fillmore Street, Central City, Phoenix",Phoenix,West Fillmore Street,restricted,Near: Memory Lawn Cemetery,landuse=cemetery
15.0,33.53491876603818,-112.1074660466395,1.0,58398.4,0.0,"North 23rd Avenue, Alhambra, Phoenix",Phoenix,North 23rd Avenue,suitable,No restricted areas detected within 500m,
16.0,33.56197243753307,-112.10781127664745,2.0,12551.1,1500.0,"North 23rd Avenue, North Mountain, Phoenix",Phoenix,North 23rd Avenue,suitable,No restricted areas detected within 500m,
18.0,33.3728771569399,-112.0731594092439,1.0,38822.9,0.0,"South Central Avenue, South Mountain, Phoenix",Phoenix,South Central Avenue,suitable,No restricted areas detected within 500m,
19.0,33.39993184606076,-112.0734918983556,1.0,36057.7,0.0,"South Central Avenue, South Mountain, Phoenix",Phoenix,South Central Avenue,restricted,"Near: Hayden Park, Sunland Estates Park",leisure=park; leisure=park
21.0,33.50814939121381,-112.07482630514279,1.0,38906.8,0.0,"West Mariposa Street, Alhambra, Phoenix",Phoenix,West Mariposa Street,suitable,No restricted areas detected within 500m,
22.0,33.53520347441078,-112.07516102223344,1.0,30672.5,0.0,"West Lawrence Road, Alhambra, Phoenix",Phoenix,West Lawrence Road,restricted,Near: unnamed,natural=water
25.0,33.37315175329295,-112.04091405331607,1.0,21058.6,0.0,"South 19th Way, South Mountain, Phoenix",Phoenix,South 19th Way,suitable,No restricted areas detected within 500m,
26.0,33.400206723157346,-112.04123655655256,1.0,37898.0,0.0,"East Atlanta Avenue, South Mountain, Phoenix",Phoenix,East Atlanta Avenue,restricted,"Near: Bishop Alexis A. Thomas Park, Hermoso Park",leisure=park; leisure=park
28.0,33.45431630010298,-112.04188285695402,1.0,28315.0,0.0,"North 19th Street, Central City, Phoenix",Phoenix,North 19th Street,restricted,Near: Edison Park,leisure=park
29.0,33.48137090708112,-112.04220665520657,1.0,43588.6,0.0,"North 18th Place, Bronze Boot, Phoenix",Phoenix,North 18th Place,suitable,No restricted areas detected within 500m,
30.0,33.535479757791,-112.04285555054253,1.0,28479.1,0.0,"North Ocotillo Hermosa Circle, Camelback East, Phoenix",Phoenix,North Ocotillo Hermosa Circle,restricted,"Near: Granada Lake, Granada Park",natural=water; leisure=park; natural=water
31.0,33.56253400142022,-112.04318064872017,2.0,4868.0,1500.0,"North 17th Place, North Mountain, Phoenix",Phoenix,North 17th Place,suitable,No restricted areas detected within 500m,
